date,country,apl-driving,apl-transit,apl-walking
2020-04-27,BEL,52.77,28.2,60.73
alternative_name,BRA,Brasil,Brasil,Brasil
2020-01-13,BRA,100.0,100.0,100.0
2020-01-14,BRA,99.71,102.45,106.3
2020-01-15,BRA,100.9,104.28,104.75
2020-01-16,BRA,101.88,100.2,99.05
2020-01-17,BRA,113.69,97.06,104.13
2020-01-18,BRA,114.38,81.01,101.18
2020-01-19,BRA,91.06,69.05,69.84
2020-01-20,BRA,97.54,100.37,97.33
2020-01-21,BRA,98.14,109.18,105.36
2020-01-22,BRA,97.91,106.12,102.28
2020-01-23,BRA,98.51,102.51,95.88
2020-01-24,BRA,109.53,99.99,104.74
2020-01-25,BRA,111.8,81.78,101.07
2020-01-26,BRA,88.93,70.41,69.38
2020-01-27,BRA,92.86,105.37,98.41
2020-01-28,BRA,95.19,110.46,102.94
2020-01-29,BRA,94.85,108.95,101.02
2020-01-30,BRA,96.31,103.38,100.51
2020-01-31,BRA,109.54,105.23,110.22
2020-02-01,BRA,109.56,84.27,95.63
2020-02-02,BRA,83.8,71.2,65.06
2020-02-03,BRA,92.5,111.64,97.15
2020-02-04,BRA,92.97,113.05,104.11
2020-02-05,BRA,93.75,111.42,103.31
2020-02-06,BRA,96.35,111.11,104.21
2020-02-07,BRA,114.55,116.13,120.32
2020-02-08,BRA,117.52,95.44,114.78
2020-02-09,BRA,86.93,74.79,70.93
2020-02-10,BRA,99.25,120.83,101.06
2020-02-11,BRA,95.71,116.59,106.71
2020-02-12,BRA,98.43,118.28,110.43
2020-02-13,BRA,98.92,113.61,113.33
2020-02-14,BRA,115.44,117.96,126.08
2020-02-15,BRA,123.46,109.7,135.5
2020-02-16,BRA,92.31,92.39,97.46
2020-02-17,BRA,95.54,119.12,109.05
2020-02-18,BRA,99.59,123.99,115.3
2020-02-19,BRA,102.06,121.93,116.07
2020-02-20,BRA,109.38,114.4,121.05
2020-02-21,BRA,141.63,113.62,137.47
2020-02-22,BRA,140.3,96.45,171.31
2020-02-23,BRA,103.13,79.83,153.25
2020-02-24,BRA,102.5,81.57,137.77
2020-02-25,BRA,99.46,78.26,114.5
2020-02-26,BRA,92.81,84.99,82.66
2020-02-27,BRA,91.16,100.15,99.98
2020-02-28,BRA,101.9,104.61,109.09
2020-02-29,BRA,107.46,89.78,106.38
2020-03-01,BRA,77.97,70.02,67.92
2020-03-02,BRA,88.51,111.78,100.58
2020-03-03,BRA,90.22,114.5,107.55
2020-03-04,BRA,92.18,112.99,109.92
2020-03-05,BRA,95.49,113.33,112.18
2020-03-06,BRA,110.82,112.0,122.93
2020-03-07,BRA,118.71,93.39,117.49
2020-03-08,BRA,82.64,68.94,70.22
2020-03-09,BRA,90.32,112.46,106.53
2020-03-10,BRA,92.92,117.22,110.43
2020-03-11,BRA,92.58,113.69,111.88
2020-03-12,BRA,89.66,105.24,105.51
2020-03-13,BRA,103.57,99.22,110.67
2020-03-14,BRA,106.68,75.46,99.18
2020-03-15,BRA,71.69,54.78,58.05
2020-03-16,BRA,70.59,71.52,76.8
2020-03-17,BRA,64.88,57.15,65.54
2020-03-18,BRA,58.47,45.94,54.89
2020-03-19,BRA,52.15,36.65,45.14
2020-03-20,BRA,51.7,29.95,40.48
2020-03-21,BRA,39.66,19.51,29.89
2020-03-22,BRA,27.58,17.04,20.98
2020-03-23,BRA,34.89,20.74,27.37
2020-03-24,BRA,34.84,18.78,27.11
2020-03-25,BRA,35.26,19.11,27.96
2020-03-26,BRA,37.57,20.33,28.91
2020-03-27,BRA,42.94,21.26,32.21
2020-03-28,BRA,41.63,18.17,31.1
2020-03-29,BRA,30.76,16.61,22.26
2020-03-30,BRA,40.12,22.27,31.21
2020-03-31,BRA,41.85,22.91,33.58
2020-04-01,BRA,44.28,23.23,35.29
2020-04-02,BRA,45.51,21.81,35.66
2020-04-03,BRA,50.52,21.89,38.21
2020-04-04,BRA,50.88,19.08,36.27
2020-04-05,BRA,35.1,17.13,25.8
