date,country,isolation
2020-04-16,RU-ORL,2.7
2020-04-17,RU-ORL,2.6
2020-04-18,RU-ORL,3.4
2020-04-19,RU-ORL,3.8
2020-02-23,RU-RYA,2.8
2020-02-24,RU-RYA,2.7
2020-02-25,RU-RYA,0.7
2020-02-26,RU-RYA,0.7
2020-02-27,RU-RYA,0.8
2020-02-28,RU-RYA,0.7
2020-02-29,RU-RYA,2.2
2020-03-01,RU-RYA,2.8
2020-03-02,RU-RYA,0.8
2020-03-03,RU-RYA,0.7
2020-03-04,RU-RYA,0.7
2020-03-05,RU-RYA,0.6
2020-03-06,RU-RYA,0.7
2020-03-07,RU-RYA,2.0
2020-03-08,RU-RYA,2.6
2020-03-09,RU-RYA,2.6
2020-03-10,RU-RYA,0.6
2020-03-11,RU-RYA,0.5
2020-03-12,RU-RYA,0.6
2020-03-13,RU-RYA,0.7
2020-03-14,RU-RYA,2.1
2020-03-15,RU-RYA,3.0
2020-03-16,RU-RYA,0.7
2020-03-17,RU-RYA,1.0
2020-03-18,RU-RYA,1.0
2020-03-19,RU-RYA,1.1
2020-03-20,RU-RYA,1.1
2020-03-21,RU-RYA,2.4
2020-03-22,RU-RYA,2.9
2020-03-23,RU-RYA,1.2
2020-03-24,RU-RYA,1.2
2020-03-25,RU-RYA,1.1
2020-03-26,RU-RYA,1.0
2020-03-27,RU-RYA,1.0
2020-03-28,RU-RYA,2.7
2020-03-29,RU-RYA,3.3
2020-03-30,RU-RYA,2.7
2020-03-31,RU-RYA,3.2
2020-04-01,RU-RYA,3.3
2020-04-02,RU-RYA,3.3
2020-04-03,RU-RYA,3.1
2020-04-04,RU-RYA,3.6
2020-04-05,RU-RYA,3.9
2020-04-06,RU-RYA,2.8
2020-04-07,RU-RYA,2.7
2020-04-08,RU-RYA,2.6
2020-04-09,RU-RYA,2.5
2020-04-10,RU-RYA,2.5
2020-04-11,RU-RYA,3.3
2020-04-12,RU-RYA,3.7
2020-04-13,RU-RYA,2.4
