date,city,value
2020-03-12,Нур-Султан,0.4
2020-03-13,Нур-Султан,0.5
2020-03-14,Нур-Султан,1.8
2020-03-15,Нур-Султан,2.3
2020-03-16,Нур-Султан,1.1
2020-03-17,Нур-Султан,1.2
2020-03-18,Нур-Султан,1.5
2020-03-19,Нур-Султан,2.0
2020-03-20,Нур-Султан,2.0
2020-03-21,Нур-Султан,2.9
2020-03-22,Нур-Султан,3.3
2020-03-23,Нур-Султан,3.1
2020-03-24,Нур-Султан,3.0
2020-03-25,Нур-Султан,2.9
2020-03-26,Нур-Султан,2.2
2020-03-27,Нур-Султан,2.3
2020-03-28,Нур-Султан,3.1
2020-03-29,Нур-Султан,3.5
2020-03-30,Нур-Султан,3.6
2020-03-31,Нур-Султан,3.7
2020-04-01,Нур-Султан,3.7
2020-04-02,Нур-Султан,3.6
2020-04-03,Нур-Султан,3.5
2020-04-04,Нур-Султан,3.7
2020-04-05,Нур-Султан,3.8
2020-04-06,Нур-Султан,3.3
2020-03-02,Уфа,1.0
2020-03-03,Уфа,0.9
2020-03-04,Уфа,0.9
2020-03-05,Уфа,0.8
2020-03-06,Уфа,0.9
2020-03-07,Уфа,2.4
2020-03-08,Уфа,2.9
2020-03-09,Уфа,3.1
2020-03-10,Уфа,1.0
2020-03-11,Уфа,0.9
2020-03-12,Уфа,0.9
2020-03-13,Уфа,0.9
2020-03-14,Уфа,2.4
2020-03-15,Уфа,3.1
2020-03-16,Уфа,1.1
2020-03-17,Уфа,1.0
2020-03-18,Уфа,1.1
2020-03-19,Уфа,1.1
2020-03-20,Уфа,1.2
2020-03-21,Уфа,2.7
2020-03-22,Уфа,3.2
2020-03-23,Уфа,1.4
2020-03-24,Уфа,1.4
2020-03-25,Уфа,1.4
2020-03-26,Уфа,1.5
2020-03-27,Уфа,1.5
2020-03-28,Уфа,3.1
2020-03-29,Уфа,3.7
2020-03-30,Уфа,3.0
2020-03-31,Уфа,3.0
2020-04-01,Уфа,3.7
2020-04-02,Уфа,3.7
2020-04-03,Уфа,3.6
2020-04-04,Уфа,4.1
2020-04-05,Уфа,4.2
2020-04-06,Уфа,3.2
2020-03-02,Воронеж,1.1
2020-03-03,Воронеж,1.0
2020-03-04,Воронеж,0.9
2020-03-05,Воронеж,0.8
2020-03-06,Воронеж,0.9
2020-03-07,Воронеж,2.4
2020-03-08,Воронеж,2.6
2020-03-09,Воронеж,2.9
2020-03-10,Воронеж,0.9
2020-03-11,Воронеж,0.9
2020-03-12,Воронеж,1.0
2020-03-13,Воронеж,1.0
2020-03-14,Воронеж,2.4
2020-03-15,Воронеж,3.3
2020-03-16,Воронеж,1.1
2020-03-17,Воронеж,1.3
2020-03-18,Воронеж,1.3
2020-03-19,Воронеж,1.3
2020-03-20,Воронеж,1.4
2020-03-21,Воронеж,2.8
2020-03-22,Воронеж,3.5
2020-03-23,Воронеж,1.6
2020-03-24,Воронеж,1.5
2020-03-25,Воронеж,1.5
2020-03-26,Воронеж,1.4
2020-03-27,Воронеж,1.4
2020-03-28,Воронеж,3.0
2020-03-29,Воронеж,3.5
2020-03-30,Воронеж,3.0
2020-03-31,Воронеж,3.2
2020-04-01,Воронеж,3.6
2020-04-02,Воронеж,3.6
2020-04-03,Воронеж,3.5
2020-04-04,Воронеж,3.8
2020-04-05,Воронеж,4.1
2020-04-06,Воронеж,3.2
2020-03-02,Москва,0.5
2020-03-03,Москва,0.4
2020-03-04,Москва,0.4
2020-03-05,Москва,0.3
2020-03-06,Москва,0.4
2020-03-07,Москва,1.8
2020-03-08,Москва,2.4
2020-03-09,Москва,2.3
2020-03-10,Москва,0.5
2020-03-11,Москва,0.4
2020-03-12,Москва,0.4
2020-03-13,Москва,0.5
2020-03-14,Москва,1.9
2020-03-15,Москва,2.7
2020-03-16,Москва,0.7
2020-03-17,Москва,0.8
2020-03-18,Москва,0.9
2020-03-19,Москва,1.0
2020-03-20,Москва,1.1
2020-03-21,Москва,2.4
2020-03-22,Москва,2.9
2020-03-23,Москва,1.4
